murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
,,,,,,,,,106148004,noncampus,2016
,,,,,,,,,106148005,noncampus,2016
,,,,,,,,,106148006,noncampus,2016
0,0,0,0,0,0,0,0,0,106245001,noncampus,2016
,,,,,,,,,106245002,noncampus,2016
,,,,,,,,,106245003,noncampus,2016
,,,,,,,,,106245004,noncampus,2016
0,0,0,0,0,0,0,1,0,106263001,noncampus,2016
,,,,,,,,,106263002,noncampus,2016
0,0,0,0,0,0,0,0,0,106306001,noncampus,2016
,,,,,,,,,106315001,noncampus,2016
,,,,,,,,,106324001,noncampus,2016
0,0,0,0,0,0,0,0,0,106342001,noncampus,2016
,,,,,,,,,106351001,noncampus,2016
,,,,,,,,,106351002,noncampus,2016
,,,,,,,,,106360001,noncampus,2016
0,0,0,0,0,1,5,3,0,106397001,noncampus,2016
,,,,,,,,,106412001,noncampus,2016
,,,,,,,,,106449001,noncampus,2016
,,,,,,,,,106449002,noncampus,2016
0,0,0,0,0,0,0,0,0,106449003,noncampus,2016
,,,,,,,,,106449004,noncampus,2016
0,0,0,0,0,0,0,0,0,106458001,noncampus,2016
0,0,0,0,0,0,0,0,0,106467001,noncampus,2016
,,,,,,,,,106467002,noncampus,2016
0,0,0,0,0,0,0,0,0,106485001,noncampus,2016
0,0,0,0,0,0,0,0,0,106485002,noncampus,2016
0,0,0,0,0,0,0,0,0,106485003,noncampus,2016
,,,,,,,,,106494001,noncampus,2016
0,0,0,0,0,0,0,0,0,106546001,noncampus,2016
0,0,0,0,0,0,0,0,0,106625001,noncampus,2016
,,,,,,,,,106625002,noncampus,2016
0,0,0,0,0,0,0,0,0,106704001,noncampus,2016
0,0,0,0,0,0,0,0,0,106713001,noncampus,2016
0,0,0,0,0,0,0,0,0,106795001,noncampus,2016
0,0,0,0,0,0,0,0,0,106810001,noncampus,2016
,,,,,,,,,106829001,noncampus,2016
,,,,,,,,,106883001,noncampus,2016
,,,,,,,,,106892001,noncampus,2016
0,0,0,0,0,0,0,0,0,106908001,noncampus,2016
0,0,0,0,0,0,0,0,0,106908002,noncampus,2016
0,0,0,0,0,0,0,0,0,106980001,noncampus,2016
,,,,,,,,,106999001,noncampus,2016
0,0,1,0,1,0,1,0,0,107044001,noncampus,2016
,,,,,,,,,107044002,noncampus,2016
,,,,,,,,,107044003,noncampus,2016
0,0,0,0,0,0,1,0,0,107044004,noncampus,2016
,,,,,,,,,107044005,noncampus,2016
,,,,,,,,,107044006,noncampus,2016
,,,,,,,,,107044007,noncampus,2016
,,,,,,,,,107044008,noncampus,2016
,,,,,,,,,107044009,noncampus,2016
,,,,,,,,,107044010,noncampus,2016
,,,,,,,,,107044011,noncampus,2016
,,,,,,,,,107071001,noncampus,2016
,,,,,,,,,107071002,noncampus,2016
,,,,,,,,,107080001,noncampus,2016
,,,,,,,,,107099001,noncampus,2016
,,,,,,,,,107123001,noncampus,2016
0,0,0,0,0,0,0,0,0,107141001,noncampus,2016
,,,,,,,,,107141002,noncampus,2016
,,,,,,,,,107141003,noncampus,2016
,,,,,,,,,107141004,noncampus,2016
,,,,,,,,,107141005,noncampus,2016
,,,,,,,,,107220001,noncampus,2016
,,,,,,,,,107220002,noncampus,2016
,,,,,,,,,107220003,noncampus,2016
,,,,,,,,,107220004,noncampus,2016
,,,,,,,,,107220005,noncampus,2016
0,0,0,0,0,0,0,0,0,107293001,noncampus,2016
,,,,,,,,,107318001,noncampus,2016
0,0,0,0,0,0,0,0,0,107327001,noncampus,2016
0,0,0,0,0,0,0,0,0,107327002,noncampus,2016
0,0,0,0,0,0,0,0,0,107327003,noncampus,2016
